paper_id,pub_year,cited_by,author_ids
https://openalex.org/W163233460,2013,106,"['https://openalex.org/A5067697208', 'https://openalex.org/A5053074764', 'https://openalex.org/A5051904371', 'https://openalex.org/A5049389261', 'https://openalex.org/A5113497087']"
https://openalex.org/W1867567124,2015,92,"['https://openalex.org/A5005839111', 'https://openalex.org/A5073280788', 'https://openalex.org/A5049389261', 'https://openalex.org/A5054628350', 'https://openalex.org/A5044033087']"
https://openalex.org/W3162145206,2021,84,"['https://openalex.org/A5052536455', 'https://openalex.org/A5082698243', 'https://openalex.org/A5080265907', 'https://openalex.org/A5056499434']"
https://openalex.org/W3160019056,2021,76,"['https://openalex.org/A5018392096', 'https://openalex.org/A5008159594', 'https://openalex.org/A5041660039', 'https://openalex.org/A5069257022', 'https://openalex.org/A5021211836']"
https://openalex.org/W3126206030,2021,72,"['https://openalex.org/A5052536455', 'https://openalex.org/A5082698243', 'https://openalex.org/A5080265907', 'https://openalex.org/A5056499434']"
https://openalex.org/W4387783578,2023,34,"['https://openalex.org/A5082698243', 'https://openalex.org/A5056499434']"
https://openalex.org/W4385969476,2023,33,"['https://openalex.org/A5082698243', 'https://openalex.org/A5026721037', 'https://openalex.org/A5020533147', 'https://openalex.org/A5056499434']"
https://openalex.org/W2084687708,1982,119,"['https://openalex.org/A5100329996', 'https://openalex.org/A5059329724']"
https://openalex.org/W2012384441,2012,83,"['https://openalex.org/A5100329996', 'https://openalex.org/A5090417160', 'https://openalex.org/A5100417272', 'https://openalex.org/A5109861718', 'https://openalex.org/A5009547049']"
https://openalex.org/W2559646768,2016,72,"['https://openalex.org/A5101545725', 'https://openalex.org/A5039871179', 'https://openalex.org/A5100329996', 'https://openalex.org/A5070590431']"
https://openalex.org/W97914200,2021,41,"['https://openalex.org/A5069257022', 'https://openalex.org/A5018392096']"
https://openalex.org/W1981268364,2005,111,"['https://openalex.org/A5110052525', 'https://openalex.org/A5108550461', 'https://openalex.org/A5100329996']"
https://openalex.org/W2116454443,2007,93,"['https://openalex.org/A5031224496', 'https://openalex.org/A5059570814', 'https://openalex.org/A5036233384']"
https://openalex.org/W2063246081,2006,87,"['https://openalex.org/A5061014732', 'https://openalex.org/A5100329996', 'https://openalex.org/A5010271530', 'https://openalex.org/A5032036023']"
https://openalex.org/W1983248046,1982,80,"['https://openalex.org/A5100329996', 'https://openalex.org/A5059329724']"
https://openalex.org/W1556806542,2010,74,"['https://openalex.org/A5019996096', 'https://openalex.org/A5044567071', 'https://openalex.org/A5018392096', 'https://openalex.org/A5079931812', 'https://openalex.org/A5069257022']"
https://openalex.org/W1987094625,2010,74,"['https://openalex.org/A5018392096', 'https://openalex.org/A5059792053']"
https://openalex.org/W1986154287,2009,70,"['https://openalex.org/A5110052525', 'https://openalex.org/A5108550461', 'https://openalex.org/A5100329996']"
https://openalex.org/W2074166609,2010,68,"['https://openalex.org/A5033390129', 'https://openalex.org/A5035143437', 'https://openalex.org/A5101619159']"
https://openalex.org/W2963312008,2015,57,"['https://openalex.org/A5069257022', 'https://openalex.org/A5018392096']"
https://openalex.org/W2072593834,2014,55,"['https://openalex.org/A5017441299', 'https://openalex.org/A5036233384']"
https://openalex.org/W3166101609,2019,53,"['https://openalex.org/A5082698243', 'https://openalex.org/A5020533147', 'https://openalex.org/A5056499434']"
https://openalex.org/W3126207517,2021,33,"['https://openalex.org/A5082698243', 'https://openalex.org/A5052536455', 'https://openalex.org/A5103730703']"
https://openalex.org/W4372272969,2023,13,"['https://openalex.org/A5087929857', 'https://openalex.org/A5015441797', 'https://openalex.org/A5052593379', 'https://openalex.org/A5026429870', 'https://openalex.org/A5004281470']"
https://openalex.org/W4388213147,2023,12,"['https://openalex.org/A5028078232', 'https://openalex.org/A5100385022', 'https://openalex.org/A5076098034', 'https://openalex.org/A5100378148', 'https://openalex.org/A5051135031', 'https://openalex.org/A5100329996', 'https://openalex.org/A5100697936']"
https://openalex.org/W2006311855,2010,60,"['https://openalex.org/A5107030496', 'https://openalex.org/A5100329996']"
https://openalex.org/W2104158326,2009,59,"['https://openalex.org/A5100605742', 'https://openalex.org/A5110052525', 'https://openalex.org/A5108550461', 'https://openalex.org/A5100329996']"
https://openalex.org/W2140451424,2012,47,"['https://openalex.org/A5100329996', 'https://openalex.org/A5090417160', 'https://openalex.org/A5016340912']"
