id,display_name,works_api_url,h_index,works_count,country_code
https://openalex.org/A5102780534,Sarah Valdez,https://api.openalex.org/works?filter=author.id:A5102780534,10,145,AE
https://openalex.org/A5100397455,Yang Yang,https://api.openalex.org/works?filter=author.id:A5100397455,146,675,US
https://openalex.org/A5091815434,Florian Saurwein,https://api.openalex.org/works?filter=author.id:A5091815434,15,83,DE
https://openalex.org/A5065811299,Stef M. Shuster,https://api.openalex.org/works?filter=author.id:A5065811299,10,37,US
https://openalex.org/A5029292684,Ernesto Calvo,https://api.openalex.org/works?filter=author.id:A5029292684,28,159,US
https://openalex.org/A5025218700,Amit Goldenberg,https://api.openalex.org/works?filter=author.id:A5025218700,26,138,US
https://openalex.org/A5091272738,Jure Leskovec,https://api.openalex.org/works?filter=author.id:A5091272738,138,661,US
https://openalex.org/A5028187016,Tom Wilson,https://api.openalex.org/works?filter=author.id:A5028187016,29,265,AU
https://openalex.org/A5013453635,Yuze Sui,https://api.openalex.org/works?filter=author.id:A5013453635,1,3,US
https://openalex.org/A5008307390,Moh Hosseinioun,https://api.openalex.org/works?filter=author.id:A5008307390,1,2,CA
https://openalex.org/A5011833635,Shaz Furniturewala,https://api.openalex.org/works?filter=author.id:A5011833635,1,14,IN
https://openalex.org/A5019218689,Cameron Lai,https://api.openalex.org/works?filter=author.id:A5019218689,1,5,JP
https://openalex.org/A5074054039,Duc Quang Tran,https://api.openalex.org/works?filter=author.id:A5074054039,9,52,US
https://openalex.org/A5012197691,Susumu Nagayama,https://api.openalex.org/works?filter=author.id:A5012197691,5,5,JP
https://openalex.org/A5000474356,Nan Cao,https://api.openalex.org/works?filter=author.id:A5000474356,39,201,FI
https://openalex.org/A5047497228,Rodrigo Plaza-Pedroche,https://api.openalex.org/works?filter=author.id:A5047497228,5,17,ES
https://openalex.org/A5071165387,Mirta Galešić,https://api.openalex.org/works?filter=author.id:A5071165387,44,192,AT
https://openalex.org/A5025818752,Jiayu Zheng,https://api.openalex.org/works?filter=author.id:A5025818752,16,62,CN
https://openalex.org/A5063445465,Drew Dimmery,https://api.openalex.org/works?filter=author.id:A5063445465,6,35,US
https://openalex.org/A5110548152,Ying-Kai Huang,https://api.openalex.org/works?filter=author.id:A5110548152,5,7,TW
https://openalex.org/A5081429241,Jake M. Hofman,https://api.openalex.org/works?filter=author.id:A5081429241,29,75,
https://openalex.org/A5055438472,Justin Chun‐ting Ho,https://api.openalex.org/works?filter=author.id:A5055438472,7,27,TW
https://openalex.org/A5112115078,Runsheng Huang,https://api.openalex.org/works?filter=author.id:A5112115078,12,59,CN
https://openalex.org/A5043488321,Aleksei Gorgadze,https://api.openalex.org/works?filter=author.id:A5043488321,3,7,RU
https://openalex.org/A5026230453,Samuel V. Scarpino,https://api.openalex.org/works?filter=author.id:A5026230453,41,165,MX
https://openalex.org/A5038976962,Albert‐László Barabási,https://api.openalex.org/works?filter=author.id:A5038976962,154,666,US
https://openalex.org/A5024087833,Colin F. Camerer,https://api.openalex.org/works?filter=author.id:A5024087833,116,498,US
https://openalex.org/A5028529542,Samantha C. Phillips,https://api.openalex.org/works?filter=author.id:A5028529542,2,16,US
https://openalex.org/A5109446924,Jianjian Gao,https://api.openalex.org/works?filter=author.id:A5109446924,6,24,CN
https://openalex.org/A5061444760,Fereshteh Amini,https://api.openalex.org/works?filter=author.id:A5061444760,11,31,US
https://openalex.org/A5084458456,Kilian Buehling,https://api.openalex.org/works?filter=author.id:A5084458456,5,16,DE
https://openalex.org/A5076193392,Brenda Curtis,https://api.openalex.org/works?filter=author.id:A5076193392,25,144,US
https://openalex.org/A5060256587,Claudia Acciai,https://api.openalex.org/works?filter=author.id:A5060256587,4,14,DK
https://openalex.org/A5089178335,Yoo Ji Suh,https://api.openalex.org/works?filter=author.id:A5089178335,4,7,US
https://openalex.org/A5080791781,Susan T. Fiske,https://api.openalex.org/works?filter=author.id:A5080791781,123,589,US
https://openalex.org/A5002073039,Sou Hyun Jang,https://api.openalex.org/works?filter=author.id:A5002073039,11,69,KR
https://openalex.org/A5101925935,Arunas Radzvilavicius,https://api.openalex.org/works?filter=author.id:A5101925935,5,21,NO
https://openalex.org/A5039092140,Madison K. Landry,https://api.openalex.org/works?filter=author.id:A5039092140,1,1,US
https://openalex.org/A5050709026,Joshua Introne,https://api.openalex.org/works?filter=author.id:A5050709026,13,32,US
https://openalex.org/A5002658913,Yair Rubinstein,https://api.openalex.org/works?filter=author.id:A5002658913,4,7,IL
